20/06/2020 11:39:51:347760: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: LOGIN asd asd
20/06/2020 11:50:18:729605: <socket.socket fd=760, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53498), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:50:31:560315: <socket.socket fd=760, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53498), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:51:57:062319: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53507), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:53:38:438040: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:53:46:052319: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: REGISTER a a a a
20/06/2020 11:53:51:211192: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:53:52:422073: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:53:52:423069: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:53:52:423069: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:53:57:054156: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:54:00:133416: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:54:00:133416: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:54:03:543018: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: ADD_BALANCE 22
20/06/2020 11:54:13:894139: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:54:16:101244: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:54:17:677696: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:54:19:616265: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:54:21:247145: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:54:24:273204: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:54:24:273204: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:54:28:557638: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:54:30:119997: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:54:35:826225: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:54:40:927719: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:54:57:210655: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:55:05:678911: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:55:05:678911: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:55:20:753168: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:55:25:987643: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:55:27:171833: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:56:07:489038: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:56:11:900253: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:56:11:900253: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:56:21:741535: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:56:41:412694: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:56:41:412694: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:56:44:875305: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:56:52:596288: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:56:53:948500: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:56:53:949499: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:56:53:949499: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:57:09:325115: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:57:09:326111: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:57:50:193091: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:57:53:189719: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:57:53:189719: <socket.socket fd=680, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53513), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:00:12:680984: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: LOGIN 1 1
20/06/2020 12:00:16:110323: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 12:00:17:166746: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:00:17:166746: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:00:17:166746: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:00:25:235775: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:00:25:235775: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:00:29:831927: <socket.socket fd=492, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:54:31:943172: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 12:54:33:055654: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:54:33:055654: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:54:33:055654: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:54:50:502693: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:54:55:443536: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:54:59:996309: <socket.socket fd=552, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53788), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:55:48:025865: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 12:55:49:349569: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:55:49:349569: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:55:49:349569: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:55:51:320069: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:55:55:503423: <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53794), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:56:50:596529: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 12:56:51:747839: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:56:51:747839: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:56:51:747839: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:56:52:992675: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: LOGOUT
20/06/2020 12:56:57:496412: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: LOGIN asd sad
20/06/2020 12:57:05:517595: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 12:57:06:578187: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:06:579188: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:57:06:579188: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:57:09:118551: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:11:606667: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:12:279447: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:31:620198: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:57:31:621200: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:57:33:532651: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:35:446805: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 12:57:43:619498: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:57:43:619498: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:57:58:713882: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:57:58:713882: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 12:57:59:919907: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: ADD_BALANCE 22
20/06/2020 12:58:11:494571: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: COUPON_BUY 6&1&8&4&2&7
20/06/2020 12:58:13:489594: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 12:58:13:489594: <socket.socket fd=472, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53799), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 13:02:04:500389: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53832), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 13:02:05:969046: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53832), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 13:02:05:969046: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53832), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 13:02:05:969046: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53832), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 14:17:23:027513: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 14:17:24:417894: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 14:17:24:422874: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 14:17:24:422874: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 14:17:39:947343: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 14:17:43:257385: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 14:17:45:265102: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 14:17:45:265102: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 14:17:48:971023: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 14:18:07:228059: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 14:18:10:736864: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 14:18:10:736864: <socket.socket fd=512, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 54201), raddr=('127.0.0.1', 40001)>: GET_BALANCE
